,Titles,Ratings,Posters
21,"
      22.
      Bluey
(2018)
","
9.0
","https://m.media-amazon.com/images/M/MV5BMDBiNDI3YjQtNDdkNS00ZDliLTlmMmQtMDE4ZWM1ZGIyNjljXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_UX45_CR0,0,45,67_AL_.jpg"
22,"
      23.
      Batman: The Animated Series
(1992)
","
9.0
","https://m.media-amazon.com/images/M/MV5BOTM3MTRkZjQtYjBkMy00YWE1LTkxOTQtNDQyNGY0YjYzNzAzXkEyXkFqcGdeQXVyOTgwMzk1MTA@._V1_UX45_CR0,0,45,67_AL_.jpg"
23,"
      24.
      Scam 1992: The Harshad Mehta Story
(2020)
","
8.9
","https://m.media-amazon.com/images/M/MV5BNjgxZTMxNmQtZGFkZS00NDUyLTllMzYtOTE0ZjdlMjM1ZWU0XkEyXkFqcGdeQXVyMTAyMTE1MDA1._V1_UX45_CR0,0,45,67_AL_.jpg"
24,"
      25.
      Attack on Titan
(2013)
","
8.9
","https://m.media-amazon.com/images/M/MV5BNDFjYTIxMjctYTQ2ZC00OGQ4LWE3OGYtNDdiMzNiNDZlMDAwXkEyXkFqcGdeQXVyNzI3NjY3NjQ@._V1_UY67_CR2,0,45,67_AL_.jpg"
25,"
      26.
      Arcane
(2021)
","
8.9
","https://m.media-amazon.com/images/M/MV5BYmU5OWM5ZTAtNjUzOC00NmUyLTgyOWMtMjlkNjdlMDAzMzU1XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY67_CR0,0,45,67_AL_.jpg"
26,"
      27.
      The Blue Planet
(2001)
","
8.9
","https://m.media-amazon.com/images/M/MV5BMjI2NzVhM2UtODZlNS00Nzk1LTk4NDQtYTc0YWU4ODNlNGNjXkEyXkFqcGdeQXVyNjcwMzExMzU@._V1_UX45_CR0,0,45,67_AL_.jpg"
27,"
      28.
      The Office
(2005)
","
8.9
","https://m.media-amazon.com/images/M/MV5BMDNkOTE4NDQtMTNmYi00MWE0LWE4ZTktYTc0NzhhNWIzNzJiXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX45_CR0,0,45,67_AL_.jpg"
28,"
      29.
      Firefly
(2002)
","
8.9
","https://m.media-amazon.com/images/M/MV5BOTcwNzkwMDItZmM1OC00MmQ2LTgxYjgtOTNiNDgxZDAxMjk0XkEyXkFqcGdeQXVyNDQ0MTYzMDA@._V1_UX45_CR0,0,45,67_AL_.jpg"
29,"
      30.
      Human Planet
(2011)
","
8.9
","https://m.media-amazon.com/images/M/MV5BOTJmZjcwZDctODRkYi00MTJkLTgwYTYtMmUxYTgxOGU4ODg2XkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_UX45_CR0,0,45,67_AL_.jpg"
30,"
      31.
      Frozen Planet
(2011)
","
8.9
","https://m.media-amazon.com/images/M/MV5BYjdlMGYwYWQtODVlMi00Y2I0LThiYzgtYTM0YmU5NzdhYTI0XkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UX45_CR0,0,45,67_AL_.jpg"
